Respondent ID,Collector ID,Start Date,End Date,IP Address,,NAME,PostNAME,ID#,Which TeamSmile event are you attending?,Did this event provide you with new exposure to treating children with Intellectual and Developmental Disabilities (IDD)?,"How comfortable do you now feel in providing care for patients with special healthcare needs (SHCN), including IDD, compared to before the event?",How confident do you feel in managing children with IDD in a clinical setting after participating in TeamSmile?,How prepared do you now feel to interact with children with disabilities in your clinical training or practice?,What specific skills or insights did you gain from participating in this event?,"How often do you think you will incorporate a person-centered approach to care (focusing on the patient’s preferences, needs, and values) in your practice after this event?","After this event, how well do you understand how the biopsychosocial model of care (biological, psychological, and social factors) can influence patient outcomes?","How confident are you in applying structured communication frameworks such as SBAR (Situation, Background, Assessment, Recommendation) in your professional interactions after the event?",Did you use or observe the use of structured communication frameworks such as SBAR during the event?,"After participating in TeamSmile, how would you rate your understanding of occupational therapy (OT) interventions for patients with IDD during dental appointments?",How has your understanding of interprofessional collaboration (IPC) in healthcare and the roles of different professionals improved after attending this event?,Did the interprofessional collaboration during the event improve your understanding of the quality of care provided and the roles of different healthcare professionals?,Did participating in the interprofessional aspect of the event increase your interest in working with other healthcare professionals in the future or with the SHCN population?,"Has your perspective changed regarding the importance of establishing trust with other healthcare providers (e.g., OTs, dentists) to deliver high-quality patient care?",Did you feel mutual respect was demonstrated between the different professions during the event?,Did the event provide you with opportunities to work as part of an interprofessional team? (Select all that apply),,,,"If you worked as part of an interprofessional team, how valuable was this experience for your professional development?",How would you rate your overall experience at the TeamSmile event?,Would you participate in a TeamSmile event again in the future?,Did the presence of other healthcare professionals negatively impact treatment time or efficiency?,How do you think the children responded to the interprofessional care they received?,What suggestions do you have to improve future TeamSmile events?
1.19E+11,460213498,2025-04-26 15:16:40,2025-04-29 13:37:37,73.79.236.24,OT student,HL,HL,16,Pittsburgh,Yes,Much more comfortable,Somewhat confident,Very prepared,I increased my skills to use relaxation skills and techniques with a child that had dental anxiety.,Always,Very familiar,Somewhat confident,"Yes, occasionally",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, most of the time",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Good,Yes,Neutral,Very positively,The environment is key for children with IDD so I would suggest really planning where that area will be for next year. We were by the exit doors and it seemed really dangerous and the child I was working with kept running in and out.
1.19E+11,460213498,2025-04-26 9:30:46,2025-04-29 13:38:51,174.181.12.190,OT student,AK,AK,4,Pittsburgh,Yes,Much more comfortable,Very confident,Extremely prepared,Being able to manage and interact with children with IDD.,Always,Very familiar,Very confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,More space and activities for the children with IDD
1.19E+11,460213498,2025-04-04 13:51:41,2025-04-29 13:18:24,174.208.35.213,Dentist,AM,AM,5,Buffalo,Yes,Much more comfortable,Very confident,Somewhat prepared,I appreciated watching the OTs working with the patients and have gained some tips and tools that I can easily integrate into my practice,Always,Very familiar,Very confident,"Yes, frequently",Somewhat familiar,Somewhat improved,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists",,,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,I provided care in the IDD room. The treatment area was a bit tight and noisy for the amount of staff and children we were treating. We also didn’t get a lunch break or opportunity to meet the Bills players.
1.19E+11,460213498,2025-04-05 10:53:30,2025-04-29 13:17:53,71.186.147.77,hygienist,AO,AO,6,Buffalo,Yes,Much more comfortable,Very confident,Very prepared,"That the slightest, smallest things can make a difference",Always,Very familiar,Very confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, somewhat",Very positively,None
1.19E+11,460213498,2025-09-09 14:00:30,2025-09-09 14:03:37,172.59.170.151,OT,DS,DS,12,Kansas City,Yes,Much more comfortable,Very confident,Extremely prepared,"The power of therapeutic use of self, visual supports, priming, encouragement, and COLLABORATION and COMMUNICATION!",Always,Very familiar,Very confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,"Loved it all! I will debrief with Elisabeth about the experience-all positive, yet love the opportunity ti collaborate."
1.19E+11,460213498,2025-04-04 13:52:02,2025-04-29 13:23:27,151.181.86.220,OT student,IW,IW,18,Buffalo,Yes,Much more comfortable,Very confident,Extremely prepared,Self regulation,Always,Very familiar,Very confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, somewhat","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,N/a
1.19E+11,460213498,2025-04-26 9:32:43,2025-04-29 13:38:12,174.203.130.173,OT student,LH,LH,27,Pittsburgh,Yes,Much more comfortable,Very confident,Extremely prepared,Experience working with dentistry and dental hygienist students,Always,Very familiar,Very confident,"Yes, frequently",Very familiar,Neutral,Strongly agree,"Yes, somewhat","Yes, significantly","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Good,Yes,"No, no really at all",Very positively,I feel that there needs to be more organization related to pre phone calls with the families and more background information should be given to the OT students
1.19E+11,460213498,2025-04-04 13:56:32,2025-04-29 13:42:27,172.56.5.172,hygienist,NH,NH,36,Buffalo,Yes,Much more comfortable,Very confident,Extremely prepared,Patience,Always,Very familiar,Very confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists",,,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,None. Great work
1.19E+11,460213498,2025-04-04 13:56:05,2025-04-29 13:19:44,216.79.19.21,hygienist,RD,RD,42,Buffalo,Yes,Much more comfortable,Very confident,Extremely prepared,OT is very beneficial to patient compliance.,Always,Very familiar,Very confident,"Yes, frequently",Very familiar,Somewhat improved,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,None at this time
1.19E+11,460213498,2025-04-04 13:46:03,2025-04-29 13:25:58,104.28.77.167,other - health prof grad,IS,IS,17,Buffalo,Yes,Much more comfortable,Somewhat confident,Very prepared,"A few valuable skills I gained were in regards to communication, empathy, and patience. I think watching diverse needs and understanding different calming techniques was a large insight I’ve gained from this experience. The experience also enhances your understanding of accessibility, crisis management, and the importance of inclusive care regardless of age or disability.",Always,Very familiar,Very confident,"Yes, occasionally",Somewhat familiar,Improved significantly,Somewhat agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, somewhat",Very positively,I think the event went wonderful and it was an honor to work with the staff and see how different professionals work together.
1.19E+11,460213498,2025-09-09 13:59:59,2025-09-09 14:02:29,172.59.78.102,OT student,NZ,NZ,39,Kansas City,Yes,Somewhat more comfortable,Somewhat confident,Somewhat prepared,Learning how to meet the children’s needs,Always,Very familiar,Somewhat confident,"Yes, frequently",Very familiar,Somewhat improved,Somewhat agree,"Yes, significantly","Yes, significantly","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, significantly",Very positively,Providing a silent/sensory room
1.19E+11,460213498,2025-04-11 13:32:18,2025-04-29 13:40:34,199.76.117.12,OT student,MW,MW,35,Pittsburgh,Yes,Somewhat more comfortable,Somewhat confident,Very prepared,Improved explanation and communication skills,Always,Very familiar,Somewhat confident,"Yes, occasionally",Somewhat familiar,Somewhat improved,Strongly agree,"Yes, somewhat","Yes, significantly","Yes, most of the time",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, significantly",Somewhat positively,More structure to calling kids back and treating them
1.19E+11,460213498,2025-04-04 13:34:15,2025-04-29 13:19:04,174.208.42.102,hygienist,MO,MO,33,Buffalo,Yes,Somewhat more comfortable,Very confident,Extremely prepared,How to help others gain confidence in their treatments while working with students!,Always,Very familiar,Very confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists",,,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,"I would suggest to keep one extra hygiene chair with the IDD children so that as one hygienist is done, they can move to the next chair to help keep the flow for the IDD patients move along."
1.19E+11,460213498,2025-09-11 11:42:33,2025-09-11 11:49:56,204.137.100.61,OT,MS,MS,34,Kansas City,Yes,Somewhat more comfortable,Very confident,Extremely prepared,"I found that a lot of knowledge of feeding interventions (ex: responsive feeding) is applicable to dental practice. Principles such as providing positive exposure, being child-led, and not forcing anything into a child's mouth is applicable to this setting.",Always,Very familiar,Very confident,"Yes, occasionally",Somewhat familiar,Somewhat improved,Strongly agree,"Yes, significantly",Neutral,"Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,"It was a wonderful event! Some suggestions I have: -If possible, have the professionals change locations rather than having children switch rooms for treatment to minimize transition time. -Provide teachers with a social story and/or some of the equipment to touch and feel prior to the experience to prime them -Provide training to paraprofessionals on the intent of this experience (i.e do not lie/force children into dental rooms. This breaks trust) -Have fewer, more targeted visuals. Collaborate with the dentists prior to treatment to see which plan will be used -Provide training to dental staff on communicating with the IDD community (reduce filler language, use first/then, do not use abstract language, do not ask complicated open ended questions, just in general language simplification--I.E saying ""please sit"" rather than ""hi buddy, I'm going to have you sit down in the chair for me okay?"") I would love to chat more!"
1.19E+11,460213498,2025-04-04 13:51:37,2025-04-29 13:25:22,172.56.5.243,OT,TG,TG,48,Buffalo,Yes,Somewhat more comfortable,Very confident,Extremely prepared,Every child teaches you new things about how to interact with children and especially kiddos with IDD,Always,Very familiar,Very confident,"Yes, occasionally",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,Provide teachers with the children's schedule ahead of time (
1.19E+11,460213498,2025-04-28 7:16:14,2025-04-29 13:31:03,136.142.159.1,OT student,BBR,BBR,8,Pittsburgh,No,About the same as before,Very confident,Extremely prepared,I gained exposure to interacting with children with IDD in a dental environment.,Always,Very familiar,Very confident,"No, but I think it could have been useful",Very familiar,Somewhat improved,Somewhat agree,"Yes, significantly",Neutral,"Yes, always",,"Yes, with Occupational Therapists",,,Neutral,Neutral,Maybe,Neutral,Very positively,Increased structure for sensory room and additional administrative supports to ease transition from check in to appointment.
1.19E+11,460213498,2025-04-04 13:52:33,2025-04-29 13:21:22,174.208.40.222,OT student,AE,AE,1,Buffalo,Yes,Much more comfortable,Somewhat confident,Very prepared,Talking to them at their level and connecting based on their interests,Always,Very familiar,Somewhat confident,"Yes, occasionally",Very familiar,Somewhat improved,Somewhat agree,"Yes, somewhat","Yes, somewhat","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Neutral,Good,Maybe,"No, not at all",Somewhat positively,N/A
1.19E+11,460213498,2025-09-09 13:51:30,2025-09-09 14:01:22,107.77.206.214,dental student,JUT,JUT,23,Kansas City,Yes,Somewhat more comfortable,Slightly confident,Slightly prepared,"Changes to environment such as dimming light, calming music. Getting thorough history such as how patient likes to communicate and specific triggers. Desensitization.",Always,Slightly unfamiliar,Not confident at all,"No, but I think it could have been useful",Somewhat familiar,Somewhat improved,Somewhat agree,"Yes, somewhat","Yes, somewhat","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Slightly valuable,Good,Yes,"No, no really at all",Somewhat positively,Have specific roles for the members involved. Sometimes too many providers would crowd the rooms and can overstimulate the kids. Have more than one treatment chair.
1.19E+11,460213498,2025-04-27 20:17:43,2025-04-29 13:33:03,24.131.248.111,hygienist,KM,KM,26,Pittsburgh,Yes,About the same as before,Neutral,Somewhat prepared,Na,Frequently,Neutral,Neutral,"No, but I think it could have been useful",Somewhat familiar,Somewhat improved,Somewhat agree,"Yes, somewhat",Neutral,"Yes, most of the time",,"Yes, with Occupational Therapists",,,Somewhat valuable,Neutral,Maybe,"No, no really at all",Somewhat positively,It would help to have a dentist who has experience working with children or a dentist who has done mission work before.
1.19E+11,460213498,2025-09-09 13:51:39,2025-09-09 13:55:00,174.210.167.219,dental student,AG,AG,2,Kansas City,Yes,About the same as before,Slightly confident,Slightly prepared,Tell Show Do is very helpful for this environment,Frequently,Somewhat familiar,Somewhat confident,"Yes, occasionally",Neutral,Somewhat improved,Somewhat agree,"Yes, somewhat","Yes, somewhat","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Somewhat valuable,Good,Yes,"No, not at all",Very positively,No comment
1.19E+11,460213498,2025-04-04 13:32:04,2025-04-29 13:28:17,151.181.86.220,OT,NW,NW,38,Buffalo,No,Somewhat more comfortable,Very confident,Very prepared,Patience and following the lead of the hygenist,Always,Somewhat familiar,Very confident,"Yes, frequently",Very familiar,Improved significantly,Somewhat agree,"Yes, somewhat","Yes, significantly",Neutral,,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Somewhat valuable,Good,Yes,"Yes, somewhat",Somewhat positively,"More education for the dentists on the role of OT with dental care. Maybe a pamphlet of specific role OTs have with desensitization of tools, SADE, TSD, use of sensory processing techniques, etc."
1.19E+11,460213498,2025-04-04 13:52:06,2025-04-29 13:24:49,172.56.6.113,OT student,GP,GP,14,Buffalo,Yes,Somewhat more comfortable,Somewhat confident,Slightly prepared,self regulation,Frequently,Somewhat familiar,Somewhat confident,"Yes, occasionally",Somewhat familiar,Somewhat improved,Somewhat agree,"Yes, somewhat","Yes, somewhat","Yes, most of the time",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Somewhat valuable,Good,Maybe,"Yes, somewhat",Very positively,more organization
1.19E+11,460213498,2025-04-04 13:32:06,2025-04-29 13:28:45,172.56.192.253,OT,ST,ST,45,Buffalo,Yes,Somewhat more comfortable,Very confident,Very prepared,"Communication skills, Empathy, Problem Solving, Client centered care",Frequently,Somewhat familiar,Somewhat confident,"Yes, occasionally",Somewhat familiar,Somewhat improved,Somewhat agree,"Yes, somewhat","Yes, somewhat","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Somewhat valuable,Good,Yes,Neutral,Somewhat positively,Neater process of completing children for appts
1.19E+11,460213498,2025-04-04 13:44:54,2025-04-29 13:27:08,151.181.86.222,OT,MEW,MEW,30,Buffalo,No,About the same as before,Very confident,Extremely prepared,N/A,Frequently,Very familiar,Neutral,"No, but I think it could have been useful",Very familiar,Neutral,Neutral,Neutral,"Yes, somewhat","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Somewhat valuable,Good,Maybe,Neutral,Very positively,I would just make sure there is constant communication between hygienists and OTs to keep treatments in a timely manner. Also being able to specifically stick at least with the order of kids that we are given at the beginning of the day would be helpful.
1.19E+11,460213498,2025-09-09 20:40:17,2025-09-09 20:47:19,12.75.40.124,Dentist,SW,SW,46,Kansas City,Yes,About the same as before,Very confident,Very prepared,Use of visual aids/hands-on sensory items.,Always,Very familiar,Somewhat confident,"Yes, occasionally",Somewhat familiar,Somewhat improved,Somewhat disagree,Neutral,"Yes, somewhat","Yes, most of the time",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Somewhat valuable,Good,Yes,"No, not at all",Somewhat negatively,"I believe the workflow could be improved. Although OT was the initial provider to engage with the patients, by the time they reached the dental providers, we were often the second or even third person they interacted with. As a treatment provider, I noticed that many of the children had already expended much of their energy, making it difficult to successfully complete an examination, let alone cleaning or restorative procedures in most cases. In the future, it might be more effective to have OT and dental professionals working together more closely. For example, OT could begin the session using visual aids and imagery to help prepare the patient, while the dentist observes and picks up on specific cues, behavior management techniques, and preferred communication strategies. This would help build a smoother transition into the dental treatment phase. Additionally, improved communication and handoff between OT and dental providers would be beneficial. There were several instances where patients were simply passed off to the dental team without a proper introduction or transition, which made it more challenging to establish rapport. Overall, it was a great event with a lot of potential, and I’m confident that with a few adjustments, the experience could be even more effective for both providers and patients."
1.19E+11,460213498,2025-04-11 12:56:43,2025-04-29 13:41:54,174.254.129.211,dental student,JS,JS,22,Pittsburgh,Yes,About the same as before,Very confident,Extremely prepared,Ways to comfort children when in crisis,Always,Very familiar,Very confident,"Yes, occasionally",Very familiar,Somewhat improved,Somewhat agree,"Yes, somewhat","Yes, somewhat","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Somewhat valuable,Good,Yes,"Yes, significantly",Very positively,More organization of children being seen
