Respondent ID_x,Collector ID_x,Start Date_x,End Date_x,IP Address_x,name,ID#_x,location_x,participation_frequency,age_group,profession,Unnamed: 11,training_level,recieved_training_IDD,has_experience_IDD,experience_IDD_count,interaction_frequency_IDD,comfort_level_IDD_pre,PersonCenteredCare_InPractice_pre,BPS_knowledge_pre,SBAR_familiar_pre,familiar_with_OT_pre,familiar_with_IPC_pre,prep_for_collaboration_pre,prior_IPC_experience_pre,yes_other,Unnamed: 26_x,Unnamed: 27_x,prior_IPC_experience_time,frequency_collaboration_pre,How important is it for you to establish trust with other healthcare providers to provide high-quality care for patients?,Respondent ID_y,Collector ID_y,Start Date_y,End Date_y,IP Address_y,Unnamed: 5,ID#_y,location_y,new_exposure_IDD,comfort_level_IDD_post,confidence_level_IDD_post_event,prep_for_collaboration_post,insights_gained,PersonCenteredCare_InPractice_post,BPS_knowledge_post,SBAR_familiar_post,use_or_observe_SBR_post,familiar_with_OT_post,IPC_experience_post,frequency_collaboration_post,interest_IDD_post,trust_in_team_post,respect_IPC,prior_IPC_experience_post,Unnamed: 26_y,Unnamed: 27_y,Unnamed: 28,IPC_value_post,has_experience_event,interest_in_future_events,IPC_negative_impact,child_response_IPC,suggestion
115000000000.0,435224173,2025-04-04 13:42:12,2025-04-04 13:44:40,151.181.86.222,MEW,30,Buffalo,This is my first time,18-24,Occupational Therapist,,Practicing Professional,Yes,Yes,1-2 years,Frequently (weekly or more),Very comfortable,Frequently,Somewhat familiar,4,Somewhat familiar,Somewhat familiar,Somewhat prepared,,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Less than 1 year,Sometimes,Very important,119000000000.0,460213498,2025-04-04 13:44:54,2025-04-29 13:27:08,151.181.86.222,OT,30,Buffalo,No,About the same as before,Very confident,Extremely prepared,,Frequently,Very familiar,Neutral,"No, but I think it could have been useful",Very familiar,Neutral,Neutral,Neutral,"Yes, somewhat","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Somewhat valuable,Good,Maybe,Neutral,Very positively,I would just make sure there is constant communication between hygienists and OTs to keep treatments in a timely manner. Also being able to specifically stick at least with the order of kids that we are given at the beginning of the day would be helpful.
115000000000.0,435224173,2025-04-11 8:59:13,2025-04-11 9:04:20,199.76.117.12,MW,35,Pittsburgh,This is my first time,35-44,Occupational Therapist Student,,Postgraduate/Resident,Yes,Yes,6 months-1 year,Occasionally (a few times a month),Very comfortable,Frequently,Somewhat familiar,4,Somewhat familiar,Somewhat familiar,Somewhat prepared,,,,"PTs, SLPs",Less than 1 year,Rarely,Very important,119000000000.0,460213498,2025-04-11 13:32:18,2025-04-29 13:40:34,199.76.117.12,OT student,35,Pittsburgh,Yes,Somewhat more comfortable,Somewhat confident,Very prepared,Improved explanation and communication skills,Always,Very familiar,Somewhat confident,"Yes, occasionally",Somewhat familiar,Somewhat improved,Strongly agree,"Yes, somewhat","Yes, significantly","Yes, most of the time",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, significantly",Somewhat positively,More structure to calling kids back and treating them
115000000000.0,435224173,2025-04-04 9:02:20,2025-04-04 9:05:55,172.56.192.133,ST,45,Buffalo,1-2 times,18-24,Occupational Therapist Student,,Fourth-year student,Yes,Yes,1-2 years,Frequently (weekly or more),Somewhat comfortable,Frequently,Somewhat familiar,4,Somewhat familiar,Somewhat familiar,Somewhat prepared,,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)","RN, PT, SLP, MD",Less than 1 year,Sometimes,Very important,119000000000.0,460213498,2025-04-04 13:32:06,2025-04-29 13:28:45,172.56.192.253,OT,45,Buffalo,Yes,Somewhat more comfortable,Very confident,Very prepared,"Communication skills, Empathy, Problem Solving, Client centered care",Frequently,Somewhat familiar,Somewhat confident,"Yes, occasionally",Somewhat familiar,Somewhat improved,Somewhat agree,"Yes, somewhat","Yes, somewhat","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Somewhat valuable,Good,Yes,Neutral,Somewhat positively,Neater process of completing children for appts
115000000000.0,435224173,2025-04-04 9:03:51,2025-04-04 9:05:23,174.208.33.43,TS,50,Buffalo,1-2 times,25-34,Dentist,,Postgraduate/Resident,No,Yes,1-2 years,Occasionally (a few times a month),Slightly uncomfortable,Sometimes,Somewhat familiar,4,Very familiar,Somewhat familiar,Slightly unprepared,,"Yes, with Occupational Therapists",,,1-2 years,Sometimes,Very important,119000000000.0,460213498,2025-04-04 13:52:15,2025-04-29 13:26:30,174.208.33.43,dentist (resident),50,Buffalo,Yes,Somewhat more comfortable,Somewhat confident,Slightly prepared,Working with OT,Always,Neutral,Somewhat confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, significantly",Somewhat positively,
115000000000.0,435224173,2025-09-03 14:10:54,2025-09-03 14:16:18,199.200.87.99,NZ,39,Kansas City,This is my first time,18-24,Occupational Therapist Student,,Second-year student,No,Yes,1-2 years,Occasionally (a few times a month),Neutral,Frequently,Somewhat familiar,3,Neutral,Somewhat familiar,Neutral,"No, I have not worked on an interprofessional team",,,,Not applicable,Never,Very important,119000000000.0,460213498,2025-09-09 13:59:59,2025-09-09 14:02:29,172.59.78.102,OT student,39,Kansas City,Yes,Somewhat more comfortable,Somewhat confident,Somewhat prepared,Learning how to meet the children’s needs,Always,Very familiar,Somewhat confident,"Yes, frequently",Very familiar,Somewhat improved,Somewhat agree,"Yes, significantly","Yes, significantly","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, significantly",Very positively,Providing a silent/sensory room
115000000000.0,435224173,2025-09-06 13:19:31,2025-09-06 13:23:07,23.120.116.179,SF,43,Kansas City,3-5 times,25-34,Hygenist,,Practicing Professional,No,Yes,1-2 years,Occasionally (a few times a month),Somewhat comfortable,Frequently,Somewhat familiar,3,Slightly unfamiliar,Somewhat familiar,Somewhat prepared,,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Not applicable,Sometimes,Important,119000000000.0,460213498,2025-09-09 14:00:30,2025-09-09 14:04:03,172.59.74.228,hygienist,43,Kansas City,No,Somewhat more comfortable,Somewhat confident,Very prepared,"Having a specific role, communication, recognizing behaviors",Always,Somewhat familiar,Somewhat confident,"Yes, occasionally",Somewhat familiar,Somewhat improved,Strongly agree,"Yes, somewhat","Yes, somewhat","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, no really at all",Somewhat positively,"Positioning of chairs, materials provided"
115000000000.0,435224173,2025-09-03 14:10:43,2025-09-03 14:13:19,136.34.12.248,ES,13,Kansas City,This is my first time,18-24,Occupational Therapist Student,,Second-year student,No,Yes,1-6 months,Occasionally (a few times a month),Somewhat comfortable,Frequently,Somewhat familiar,2,Very familiar,Somewhat familiar,Somewhat prepared,,"Yes, with Occupational Therapists",,Physical Therapists and Speech Therapists,Less than 1 year,Sometimes,Very important,119000000000.0,460213498,2025-09-09 14:00:10,2025-09-09 14:02:18,108.147.176.11,OT student,13,Kansas City,Yes,Much more comfortable,Very confident,Very prepared,Learning how to use special interests to manage children and help them through unfamiliar experiences,Always,Somewhat familiar,Somewhat confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"Yes, significantly",Somewhat positively,i don’t have any
115000000000.0,435224173,2025-04-04 9:02:18,2025-04-04 9:07:50,172.56.193.85,GP,14,Buffalo,This is my first time,18-24,Occupational Therapist Student,,Fourth-year student,No,Yes,1-6 months,Rarely (less than once a month),Neutral,Frequently,Somewhat familiar,2,Somewhat familiar,Somewhat familiar,Neutral,,"Yes, with Occupational Therapists",,,Less than 1 year,Sometimes,Important,119000000000.0,460213498,2025-04-04 13:52:06,2025-04-29 13:24:49,172.56.6.113,OT student,14,Buffalo,Yes,Somewhat more comfortable,Somewhat confident,Slightly prepared,self regulation,Frequently,Somewhat familiar,Somewhat confident,"Yes, occasionally",Somewhat familiar,Somewhat improved,Somewhat agree,"Yes, somewhat","Yes, somewhat","Yes, most of the time",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Somewhat valuable,Good,Maybe,"Yes, somewhat",Very positively,more organization
115000000000.0,435224173,2025-04-04 9:02:23,2025-04-04 9:05:32,151.181.86.223,MAM,32,Buffalo,This is my first time,25-34,Dental Student,,Third-year student,No,Yes,Less than 1 month,Rarely (less than once a month),Neutral,Frequently,Somewhat familiar,2,Slightly unfamiliar,Somewhat familiar,Somewhat prepared,,"Yes, with Occupational Therapists",,,Less than 1 year,Sometimes,Important,119000000000.0,460213498,2025-04-04 13:52:23,2025-04-29 13:24:07,151.181.86.223,dental student,31,Buffalo,Yes,Much more comfortable,Somewhat confident,Very prepared,I gained insight on techniques that OTs use to help with patient care and increasing patient comfort and cooperation,Always,Somewhat familiar,Somewhat confident,"Yes, occasionally",Somewhat familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,Get a larger space for the IDD clinic to allow for more control of noise
115000000000.0,435224173,2025-09-03 14:10:24,2025-09-03 14:13:07,169.147.5.172,CC,9,Kansas City,This is my first time,18-24,Occupational Therapist Student,,Second-year student,Yes,Yes,More than 2 years,Frequently (weekly or more),Somewhat comfortable,Frequently,Somewhat familiar,1,Not familiar at all,Somewhat familiar,Somewhat prepared,,"Yes, with Occupational Therapists",,,Less than 1 year,Sometimes,Important,119000000000.0,460213498,2025-09-09 14:00:30,2025-09-09 14:03:04,108.147.103.43,OT student,9,Kansas City,Yes,Much more comfortable,Somewhat confident,Very prepared,Individual sensory needs,Always,Somewhat familiar,Very confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, somewhat","Yes, somewhat","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,Do it again!
115000000000.0,435224173,2025-09-03 14:10:38,2025-09-03 14:13:58,184.92.188.143,RA,41,Kansas City,This is my first time,18-24,Occupational Therapist Student,,Second-year student,Yes,Yes,6 months-1 year,Frequently (weekly or more),Somewhat comfortable,Frequently,Somewhat familiar,1,Very familiar,Very familiar,Somewhat prepared,,,,Physical Therapists,Less than 1 year,Sometimes,Very important,119000000000.0,460213498,2025-09-09 14:00:36,2025-09-09 14:03:57,192.76.4.17,OT student,41,Kansas City,Yes,Much more comfortable,Very confident,Very prepared,Its important ti highlight that every child has different experiences.,Always,Somewhat familiar,Somewhat confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,I think it was an excellent experience!!!
115000000000.0,435224173,2025-09-03 14:10:23,2025-09-03 14:14:09,136.35.165.176,SS,44,Kansas City,This is my first time,18-24,Occupational Therapist Student,,Second-year student,No,Yes,1-2 years,Occasionally (a few times a month),Very comfortable,Frequently,Somewhat familiar,1,Neutral,Somewhat familiar,Somewhat prepared,,,,Physical Therapists,Less than 1 year,Never,Very important,119000000000.0,460213498,2025-09-09 14:00:16,2025-09-09 14:02:58,174.196.38.165,OT student,44,Kansas City,Yes,Much more comfortable,Very confident,Extremely prepared,SBAR communication,Always,Very familiar,Somewhat confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,
115000000000.0,435224173,2025-04-11 8:59:23,2025-04-11 9:02:07,199.76.117.20,CR,11,Pittsburgh,This is my first time,25-34,Occupational Therapist Student,,Postgraduate/Resident,Yes,Yes,More than 2 years,Frequently (weekly or more),Very comfortable,Frequently,Very familiar,5,Very familiar,Very familiar,Very prepared,,,,"PT, SLP",3-5 years,Frequently,Very important,119000000000.0,460213498,2025-04-25 21:01:50,2025-04-29 13:39:57,73.79.123.9,OT student,11,Pittsburgh,Yes,Much more comfortable,Very confident,Extremely prepared,Oral care through an occupational therapy lens (i.e. sensory processing),Always,Very familiar,Neutral,"No, but I think it could have been useful",Very familiar,Somewhat improved,Somewhat agree,"Yes, somewhat","Yes, somewhat","Yes, most of the time",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Somewhat valuable,Good,Yes,"No, not at all",Very positively,Activities that appeal to all age ranges
115000000000.0,435224173,2025-04-11 9:01:02,2025-04-11 9:02:48,172.59.139.73,HL,16,Pittsburgh,This is my first time,25-34,Occupational Therapist Student,,Third-year student,No,Yes,More than 2 years,Occasionally (a few times a month),Somewhat comfortable,Frequently,Very familiar,5,Very familiar,Very familiar,Very prepared,,"Yes, with Occupational Therapists",,,Less than 1 year,Sometimes,Neutral,119000000000.0,460213498,2025-04-26 15:16:40,2025-04-29 13:37:37,73.79.236.24,OT student,16,Pittsburgh,Yes,Much more comfortable,Somewhat confident,Very prepared,I increased my skills to use relaxation skills and techniques with a child that had dental anxiety.,Always,Very familiar,Somewhat confident,"Yes, occasionally",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, significantly","Yes, most of the time",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Good,Yes,Neutral,Very positively,The environment is key for children with IDD so I would suggest really planning where that area will be for next year. We were by the exit doors and it seemed really dangerous and the child I was working with kept running in and out.
115000000000.0,435224173,2025-04-04 9:02:56,2025-04-04 9:06:20,151.181.86.220,IW,18,Buffalo,1-2 times,18-24,Occupational Therapist Student,,Fourth-year student,Yes,Yes,6 months-1 year,Occasionally (a few times a month),Very comfortable,Frequently,Very familiar,5,Very familiar,Very familiar,Very prepared,,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Less than 1 year,Sometimes,Very important,119000000000.0,460213498,2025-04-04 13:52:02,2025-04-29 13:23:27,151.181.86.220,OT student,18,Buffalo,Yes,Much more comfortable,Very confident,Extremely prepared,Self regulation,Always,Very familiar,Very confident,"Yes, frequently",Very familiar,Improved significantly,Strongly agree,"Yes, significantly","Yes, somewhat","Yes, always",,"Yes, with Occupational Therapists","Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Excellent,Yes,"No, not at all",Very positively,N/a
115000000000.0,435224173,2025-04-11 8:59:05,2025-04-11 9:02:14,174.196.86.66,JS,22,Pittsburgh,This is my first time,25-34,Occupational Therapist Student,,Postgraduate/Resident,Yes,Yes,1-2 years,Frequently (weekly or more),Very comfortable,Frequently,Very familiar,5,Very familiar,Very familiar,Very prepared,,,,"PT, SLP, PA, MD",3-5 years,Always,Very important,119000000000.0,460213498,2025-04-11 12:56:43,2025-04-29 13:41:54,174.254.129.211,dental student,22,Pittsburgh,Yes,About the same as before,Very confident,Extremely prepared,Ways to comfort children when in crisis,Always,Very familiar,Very confident,"Yes, occasionally",Very familiar,Somewhat improved,Somewhat agree,"Yes, somewhat","Yes, somewhat","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Somewhat valuable,Good,Yes,"Yes, significantly",Very positively,More organization of children being seen
115000000000.0,435224173,2025-04-11 8:59:06,2025-04-11 9:02:07,174.203.97.165,LH,27,Pittsburgh,This is my first time,18-24,Occupational Therapist Student,,Postgraduate/Resident,Yes,Yes,More than 2 years,Frequently (weekly or more),Very comfortable,Frequently,Very familiar,5,Somewhat familiar,Somewhat familiar,Very prepared,,"Yes, with Occupational Therapists",,"PT, SLP, Music Therapy",3-5 years,Frequently,Very important,119000000000.0,460213498,2025-04-26 9:32:43,2025-04-29 13:38:12,174.203.130.173,OT student,27,Pittsburgh,Yes,Much more comfortable,Very confident,Extremely prepared,Experience working with dentistry and dental hygienist students,Always,Very familiar,Very confident,"Yes, frequently",Very familiar,Neutral,Strongly agree,"Yes, somewhat","Yes, significantly","Yes, always",,,"Yes, with Dental Providers (Dentists, Hygienists, Assistants)",,Extremely valuable,Good,Yes,"No, no really at all",Very positively,I feel that there needs to be more organization related to pre phone calls with the families and more background information should be given to the OT students
